Regulon_Name,regulated_genes,regulated_operon,regulated_tu,total_of_regulatory_interaction,total_of_binding_sites
,308,141,169,204,0
DicF,4,0,0,4,4
DsrA,10,4,4,4,4
GcvB,60,16,17,40,38
McaS,6,2,3,4,3
GadY,2,1,1,1,1
MicF,7,4,6,8,6
OxyS,5,2,2,5,4
ChiX,6,2,2,3,3
SgrS,10,5,6,10,9
IstR-1,1,1,1,1,1
RseX,4,2,5,7,4
RydC,12,3,5,6,4
OhsC,1,1,1,1,1
SymR,1,1,1,1,1
MgrR,4,3,4,5,4
FnrS,19,8,9,14,12
ArrS,3,2,3,3,2
SdsN,3,1,1,3,3
AgrB,1,1,1,1,1
RalA,1,0,0,1,1
MicL-S,1,0,0,1,1
CpxQ,3,1,2,4,1
SdhX,6,1,1,3,3
C0293,3,1,1,2,2
MalH,1,0,0,1,1
RprA,9,4,6,12,8
RybB,15,8,13,17,11
SdsR,3,2,2,3,3
CyaR,9,8,9,10,7
OmrB,12,4,6,10,8
SibC,1,1,1,1,0
Spf,27,0,0,27,19
MicA,18,9,12,21,17
OmrA,12,4,6,10,8
SraG,1,0,0,1,1
ArcZ,6,5,6,6,5
RyhB,43,14,15,23,21
GlmZ,2,1,2,2,1
MicC,1,1,3,3,1
AzuR,2,0,0,2,2
FimR2,5,0,0,5,5
GlnZ,2,0,0,2,2
AsflhD,1,0,0,1,1
StfZ,1,0,0,1,1
AmeF,2,0,0,1,1
YrdG,1,0,0,1,0
ExuR,10,7,7,14,14
AsnC,4,2,4,8,8
Dan,4,2,2,6,6
EbgR,2,1,1,1,0
AgaR,11,3,3,11,11
AtoC,4,1,1,2,2
DgoR,5,1,1,2,2
TdcA,7,1,1,1,1
NarL,125,34,44,127,97
UhpA,2,1,1,2,2
ZntR,3,1,1,4,4
TdcR,7,1,1,1,1
FliZ,22,9,17,18,10
Lrp,368,44,71,518,443
CynR,4,2,3,4,4
MqsA,8,4,5,7,6
DnaA,18,11,14,32,29
CsgD,28,13,16,37,26
HU,9,5,17,8,2
H-NS,230,79,120,184,136
SdiA,8,6,8,12,7
AraC,18,7,9,28,23
GadW,15,8,12,53,30
FucR,7,2,2,2,1
DcuR,12,6,8,11,10
TreR,2,1,1,2,2
NagC,44,15,20,30,27
FabR,2,2,2,2,2
MlrA,10,4,6,5,4
MprA,6,3,3,3,3
KdgR,2,2,2,2,2
TrpR,12,5,6,10,10
GalS,10,5,17,18,13
ModE,46,8,9,9,7
Zur,7,4,4,5,5
YdcI,4,1,1,3,1
LldR,11,1,1,16,16
NsrR,86,35,40,47,44
DksA,162,53,70,88,0
OmpR,57,17,21,64,52
ChbR,6,1,1,4,4
RcsB,26,14,19,19,10
YeiL,1,1,1,1,1
HypT,13,5,5,5,2
AccB,2,1,1,1,1
CspA,2,2,2,4,4
DecR,2,0,0,1,1
RcdA,14,8,10,18,15
Ada,4,3,6,8,4
GutM,7,1,1,1,1
Rob,49,24,26,40,20
FlhDC,93,21,23,36,24
Fis,249,101,138,327,250
PgrR,9,4,5,6,6
IscR,33,9,10,16,13
BetI,4,2,2,2,2
Cra,79,40,61,76,46
RbsR,12,3,3,4,4
EnvR,2,1,1,1,1
MngR,3,2,2,4,4
PyrR,1,1,1,2,2
AidB,1,1,2,2,1
TorR,21,5,8,27,23
PrpR,5,2,2,4,4
AcrR,15,8,9,11,10
StpA,18,6,12,8,4
RelB,3,1,1,2,2
IdnR,7,3,4,4,4
XapR,2,1,2,4,2
Cbl,9,2,2,2,2
SoxR,8,7,7,8,8
FhlA,30,5,6,8,8
HprR,14,4,4,4,4
MarA,57,29,35,38,31
ZraR,25,2,2,25,25
ArgP,15,10,10,23,23
GadE,34,15,21,24,14
TyrR,12,9,10,22,20
CecR,6,1,1,2,2
GlaR,120,1,1,117,112
ComR,1,1,1,1,1
PlaR,14,2,2,6,6
NimR,2,2,2,6,6
NhaR,42,10,17,23,23
NarP,51,12,15,26,23
FrmR,3,0,0,1,1
MelR,3,2,2,11,11
GalR,10,5,17,18,13
McbR,6,4,5,5,5
XylR,8,4,4,8,8
HdfR,6,2,3,4,2
HcaR,7,2,2,2,2
Fur,235,70,75,224,189
QseB,14,4,5,9,7
RcsB-BglJ,16,11,13,12,11
AppY,10,2,4,4,2
RtcR,2,1,1,1,0
ArcA,237,71,84,256,234
NfeR,2,2,2,2,2
UvrY,6,5,5,5,5
YjjQ,10,6,6,7,7
GlpR,9,4,4,23,23
SutR,8,3,3,7,7
RhaR,2,1,2,4,2
CueR,9,3,3,5,5
KdpE,6,1,1,3,3
SgrR,9,3,4,4,3
MetR,5,5,6,11,9
ArgR,64,16,18,68,66
PspF,8,3,3,5,5
NorR,3,2,2,6,6
CreB,16,3,3,8,8
PaaX,14,3,3,3,3
CytR,13,10,14,31,23
MatA,9,5,6,6,6
BolA,11,5,6,8,1
RcsAB,16,5,7,8,6
YgiV,1,0,0,1,1
CaiF,10,2,2,8,8
CusR,14,4,4,4,4
PurR,32,20,21,23,22
HigBA,2,1,1,2,2
GadRcs,41,20,27,7,6
RcnR,3,2,2,4,4
MarR,3,1,1,2,2
FadR,23,17,17,20,20
FeaR,2,2,2,4,4
FNR,325,115,138,204,170
YefM,2,1,1,2,2
NadR,4,3,3,3,3
YdfH,2,1,1,1,1
AlpA,3,1,1,2,0
CdaR,10,4,4,4,0
IlvY,2,2,3,6,4
Nac,532,12,16,533,503
SlyA,48,9,9,25,25
HipAB,8,3,3,5,5
CsqR,5,3,3,3,3
YcjW,12,0,0,1,1
HicB,2,1,1,1,1
YdeO,22,7,10,11,8
UxuR,11,6,6,12,11
MntR,5,4,5,7,6
FrlR,5,1,1,1,1
BirA,5,2,2,2,2
GcvA,5,3,3,10,10
DeoR,6,3,4,8,8
NrdR,9,3,3,6,6
SrlR,7,1,1,1,1
GatR,6,1,1,1,1
DinJ-YafQ,3,2,2,2,2
CysB,33,17,17,20,18
NtrC,51,16,21,41,33
NanR,11,4,6,12,12
AlaS,1,1,1,1,1
MhpR,6,1,1,1,1
BluR,4,1,2,2,1
PdhR,54,9,10,22,21
MurR,3,2,5,10,4
RhaS,6,3,4,11,8
RutR,17,7,9,7,6
GlrR,6,2,3,9,6
MalT,11,5,5,20,20
ArsR,3,1,1,1,1
LsrR,9,2,2,2,2
PhoP,60,35,41,47,41
RstA,10,4,9,9,4
YefMB,2,1,1,2,2
BtsR,15,6,9,17,12
CpxR,130,42,50,163,135
YqhC,2,1,1,2,2
PepA,3,2,2,3,3
DpiA,11,5,8,14,11
NemR,3,1,2,1,1
MraZ,18,2,2,6,6
AdiY,8,4,7,7,4
GntR,12,6,9,17,13
MazEF,3,1,2,4,2
PdeL,9,2,2,4,4
AscG,5,4,4,9,9
EvgA,20,9,10,11,10
BaeR,9,3,3,5,5
MalI,3,2,2,2,2
AllR,9,3,3,3,3
YhaJ,8,1,1,7,7
AlsR,6,2,3,3,3
GadX,34,21,28,76,44
UlaR,7,2,2,4,4
CRP,574,245,318,448,387
LrhA,5,4,6,6,4
IclR,4,2,2,8,8
YebK,1,0,0,1,1
RclR,3,1,1,1,1
HigA,2,1,1,1,1
PutA,2,2,2,5,5
BasR,26,10,11,14,11
CRP-Sxy,1,1,1,1,1
DhaR,4,2,2,2,0
UidR,4,2,2,2,1
GlcC,7,2,2,2,2
SoxS,51,32,38,47,38
PhoB,62,32,41,45,33
XynR,5,0,0,2,1
CadC,3,2,2,3,2
AllS,3,1,1,1,1
PuuR,8,2,2,8,8
RelBE,3,1,1,4,4
RacR,6,0,0,4,4
HyfR,12,1,1,1,1
LacI,3,1,1,3,3
IHF,236,81,106,152,121
LeuO,24,7,10,22,18
NikR,6,1,1,1,1
LexA,63,36,42,51,48
MazE,3,1,2,4,2
OxyR,45,29,34,64,56
DicA,9,2,2,3,3
MetJ,15,10,12,34,30
Mlc,10,5,9,10,7
HipB,8,3,3,8,8
LysR,2,2,2,2,0
DsdC,3,3,3,3,1
EnvY,2,2,3,3,1
PunR,1,0,0,1,1
RpoN,6,0,0,6,6
YidZ,4,0,0,4,4
YciT,4,0,0,4,4
AaeR,3,1,1,1,1
YfeC,6,0,0,6,6
YgbI,2,0,0,1,1
YieP,5,0,0,5,5
YeiE,15,0,0,15,15
YafC,1,0,0,1,1
SrsR,38,5,5,21,17
YiaU,6,0,0,5,5
CitR,3,0,0,1,1
PtrR,13,2,2,8,8
FimZ,5,0,0,4,3
DicD,3,0,0,3,3
YdiP,2,0,0,2,2
